ID,A,B,C,D,E
808477,1,.,1,1,.
808483,1,.,.,.,.
808489,.,.,.,.,1
808496,.,.,1,.,.
808502,.,.,.,.,1
808505,1,.,.,.,.
808523,.,.,.,.,1
808532,1,1,1,.,.
808547,0,0,.,1,1
808578,1,1,1,1,1
808581,0,1,1,1,1
808584,1,1,.,.,.
808587,1,1,1,1,1
808590,.,1,1,1,1
808593,1,.,1,1,1
808596,1,1,1,1,.
808599,0,.,.,.,.
808609,1,1,1,.,.
808633,.,.,.,.,1
808639,1,.,.,.,.
808676,.,.,.,.,1
808688,.,.,.,.,1
808712,1,.,1,1,1
808718,.,.,1,.,.
808731,1,1,0,1,0
808743,1,1,1,1,1
808749,.,.,.,1,1
808758,1,1,1,1,1
808779,.,.,.,.,1
808782,1,.,.,.,.
808786,.,.,.,.,1
808798,1,1,1,1,1
808801,.,.,.,1,1
808843,.,1,1,1,1
808883,1,1,1,1,1
808889,.,1,.,.,.
808917,0,.,.,.,.
808923,.,.,1,1,1
808938,.,.,0,0,.
808944,1,1,1,1,1
808969,1,1,1,.,1
808972,.,1,1,1,1
808978,.,.,1,0,0
808981,.,.,.,.,1
808996,.,.,1,1,.
809014,1,.,0,1,1
809020,1,.,.,.,.
809027,1,.,.,.,.
809033,.,.,1,1,1
809048,.,1,1,1,1
809054,.,.,.,.,1
809060,1,1,1,1,1
809063,1,1,1,.,.
809069,0,0,.,.,.
809078,1,1,1,.,.
809094,0,.,.,0,.
809121,0,0,0,0,0
809127,1,1,1,.,.
809146,1,0,0,0,.
809170,1,1,1,0,1
809210,1,.,.,.,.
809228,1,1,1,.,.
809246,.,0,1,1,1
809262,.,1,1,1,1
809265,1,1,1,1,1
809271,.,.,.,.,1
809292,1,1,.,1,1
809301,0,.,.,.,.
809304,.,.,1,.,.
809323,1,.,.,.,.
809347,1,.,.,.,.
809356,1,1,1,1,1
809375,1,1,0,.,1
809378,.,.,1,1,1
809384,.,1,1,1,1
809396,1,1,0,1,1
809405,.,.,.,.,1
809408,1,.,1,1,1
809414,1,0,0,1,0
809423,0,0,0,0,0
809432,1,1,1,.,.
809436,1,.,.,.,.
809445,1,1,1,1,1
809448,.,.,0,.,.
809454,.,1,1,1,.
809463,.,1,.,.,.
809475,.,.,1,1,.
809478,1,.,1,1,1
809481,.,.,1,1,1
809487,.,.,.,1,.
809490,1,.,.,.,.
809497,0,0,.,.,.
809500,1,1,.,.,.
809506,1,1,1,1,1
809509,.,.,.,1,1
809530,1,1,1,1,1
809542,1,0,0,.,0
809561,.,.,1,1,1
809573,0,.,.,.,.
809579,.,1,1,1,1
809588,1,1,1,1,.
809594,.,0,0,0,0
809597,1,1,.,.,.
809603,0,.,.,.,.
809606,0,.,.,.,.
809616,1,1,0,0,0
809622,1,1,1,1,1
809649,.,1,1,.,.
809661,1,.,1,1,1
809664,1,1,1,1,.
809689,.,1,1,1,.
809713,0,1,1,1,1
809719,.,.,1,1,1
809722,.,.,1,1,1
809732,1,1,.,.,.
809747,1,1,1,1,1
809750,1,.,1,1,.
809774,1,.,.,.,.
809808,.,.,.,1,.
809832,1,1,.,.,.
809838,1,.,1,1,0
809875,1,1,1,1,1
809878,1,1,1,1,1
809890,1,1,.,.,.
809921,1,1,0,.,1
809924,.,.,1,.,.
809942,1,.,1,.,.
809963,1,.,.,.,.
809985,1,0,1,1,1
809991,1,.,.,.,.
810003,1,1,.,.,.
810006,1,1,1,1,1
810018,.,1,1,1,1
810043,.,1,.,.,.
810046,1,1,1,1,1
810052,1,1,1,1,1
810055,1,1,1,1,1
810058,.,.,.,.,0
810064,.,1,1,1,.
810070,0,.,.,.,.
810073,1,.,1,1,1
810076,1,1,1,.,.
810079,1,.,1,.,1
810086,.,.,1,1,1
810095,1,1,0,1,0
810107,.,0,.,.,.
810113,.,.,.,.,1
810119,.,.,1,.,.
810128,.,0,.,.,.
810131,1,.,1,1,.
810153,1,.,1,1,1
810162,0,0,0,1,.
810165,1,1,1,.,.
810183,1,.,.,.,.
810202,0,0,0,0,0
810208,1,.,0,0,0
810211,1,1,1,1,1
810214,.,.,.,.,1
810226,1,.,0,.,.
810247,.,.,.,1,1
810256,1,.,.,.,.
810269,1,1,1,1,1
810281,.,.,.,0,0
810293,1,1,1,1,1
810302,.,.,.,1,1
810311,0,.,1,.,1
810317,.,.,1,1,.
810342,.,1,1,1,1
810345,1,.,.,.,.
810354,0,0,0,.,1
810394,.,.,.,.,1
810400,.,1,1,1,1
810406,1,1,1,.,1
810412,.,.,1,1,1
810421,.,.,1,.,.
810424,1,1,1,1,1
810446,1,.,1,.,.
810452,1,1,1,1,1
810476,.,.,.,.,1
810485,.,.,.,.,1
810494,.,1,1,1,1
810501,.,.,.,.,1
810516,.,.,.,1,1
810522,1,.,.,.,.
810537,.,.,1,1,1
810559,0,0,1,1,.
810562,1,1,1,1,1
810568,0,0,0,0,0
810589,1,.,.,.,.
810592,1,1,1,1,1
810598,0,0,0,0,0
810604,0,0,0,0,0
810607,1,.,.,.,.
810617,1,1,.,.,1
810620,0,1,0,0,1
810626,.,1,1,1,1
810641,.,.,1,.,.
810653,.,.,.,.,1
810681,1,.,.,.,.
810687,1,1,1,1,1
810693,1,1,.,.,.
810702,.,.,1,1,.
810708,.,.,0,.,.
810720,.,.,.,.,1
810726,.,.,1,.,.
810751,.,.,.,.,1
810772,1,1,1,1,.
810775,.,.,.,.,0
810778,.,.,.,.,1
810784,1,1,0,1,1
810794,1,1,1,.,1
810797,.,.,.,.,1
810803,0,0,.,.,.
810821,1,1,1,.,.
810824,.,1,1,.,.
810858,1,1,1,.,.
810864,.,.,.,.,1
810885,1,.,.,.,.
810894,.,.,0,.,.
810906,1,1,.,.,.
810910,1,1,1,1,1
810922,1,1,1,1,1
810946,.,.,.,.,1
810949,1,1,1,.,1
810952,1,.,.,.,.
810961,1,.,.,.,.
810971,0,0,0,1,1
810974,1,1,.,.,.
810986,1,1,.,.,.
810992,1,.,.,.,.
811001,1,1,.,1,.
811013,.,.,.,.,0
811026,1,1,1,1,1
811029,0,1,1,1,1
811044,1,1,1,1,1
811047,.,.,.,1,.
811062,1,1,1,1,.
811068,0,.,0,.,.
811071,1,.,.,1,1
811077,1,1,1,1,1
811087,1,1,1,1,1
811105,1,1,1,.,.
811123,1,.,.,.,.
811141,.,.,.,.,1
811145,.,.,1,1,1
811148,1,1,.,.,.
811154,.,1,1,1,.
811166,0,.,.,.,.
811172,1,.,1,1,1
811187,1,1,1,1,1
811190,1,.,.,.,.
811196,.,.,.,.,1
811199,1,0,0,1,1
811203,1,1,.,.,.
811212,.,.,1,0,1
811218,.,.,.,1,.
811224,1,1,1,1,1
811239,.,.,1,.,1
811251,.,.,1,.,.
811264,1,1,.,1,.
811267,0,1,1,0,0
811285,.,.,0,.,.
811297,0,.,0,0,1
811309,.,1,1,1,1
811325,1,.,.,.,.
811331,.,.,.,.,1
811334,0,0,0,0,1
811343,.,.,.,.,1
811349,.,.,.,.,1
811370,1,1,.,.,.
811380,1,1,1,0,1
811386,1,1,1,1,1
811392,1,1,1,1,1
811410,.,1,1,1,1
811413,1,1,1,.,.
811416,.,1,.,.,.
811425,.,1,1,1,1
811428,1,.,.,.,.
811434,.,.,1,1,1
811447,.,.,1,1,.
811456,1,1,1,1,1
811486,1,.,.,.,.
811489,.,.,.,.,1
811499,.,.,1,.,.
811523,.,.,.,1,1
811535,.,1,1,1,1
811541,0,0,0,0,.
811550,1,.,1,.,.
811557,1,1,1,1,1
